#obliquity variation, mean global temp variation, ice fraction variation, global albedo variation, ice distribution (free, caps, belt, snowball), max f_ice, min_fice
0,0,20.12,0.00,0.000,0.000,0,0,0.000,0.000
0,1,20.14,1.87,0.000,0.009,0,0,0.000,0.000
0,9,20.34,1.95,0.000,0.010,0,0,0.000,0.000
0,10,20.36,1.99,0.000,0.010,0,0,0.000,0.000
0,5,20.24,2.04,0.000,0.010,0,0,0.000,0.000
0,6,20.26,2.00,0.000,0.010,0,0,0.000,0.000
0,2,20.17,2.03,0.000,0.009,0,0,0.000,0.000
0,4,20.22,2.03,0.000,0.010,0,0,0.000,0.000
0,3,20.19,2.07,0.000,0.010,0,0,0.000,0.000
0,11,20.39,2.03,0.000,0.010,0,0,0.000,0.000
0,7,20.28,1.96,0.000,0.009,0,0,0.000,0.000
0,8,20.31,1.85,0.000,0.009,0,0,0.000,0.000
0,16,20.51,1.95,0.000,0.010,0,0,0.000,0.000
0,12,20.41,2.04,0.000,0.010,0,0,0.000,0.000
0,17,20.54,1.91,0.000,0.010,0,0,0.000,0.000
0,15,20.48,1.88,0.000,0.010,0,0,0.000,0.000
0,18,20.57,1.85,0.000,0.009,0,0,0.000,0.000
0,14,20.46,1.89,0.000,0.009,0,0,0.000,0.000
0,13,20.43,1.96,0.000,0.010,0,0,0.000,0.000
0,19,20.59,1.96,0.000,0.010,0,0,0.000,0.000
0,22,20.79,2.16,0.000,0.011,0,0,0.000,0.000
0,20,21.28,1.96,0.000,0.015,0,0,0.000,0.000
0,23,20.45,1.59,0.000,0.007,0,0,0.000,0.000
0,21,21.08,1.98,0.000,0.013,0,0,0.000,0.000
0,34,22.41,1.97,0.000,0.016,0,0,0.000,0.000
0,27,19.79,1.63,0.000,0.007,0,0,0.000,0.000
0,32,21.91,2.13,0.000,0.015,0,0,0.000,0.000
0,30,20.35,1.57,0.000,0.006,0,0,0.000,0.000
0,25,19.88,1.55,0.000,0.006,0,0,0.000,0.000
0,24,20.09,1.13,0.000,0.004,0,0,0.000,0.000
0,28,19.98,1.30,0.000,0.005,0,0,0.000,0.000
0,26,19.76,1.61,0.000,0.007,0,0,0.000,0.000
0,31,21.38,2.02,0.000,0.012,0,0,0.000,0.000
0,35,22.41,2.23,0.000,0.016,0,0,0.000,0.000
0,36,21.39,2.17,0.000,0.012,0,0,0.000,0.000
0,33,22.43,2.13,0.000,0.017,0,0,0.000,0.000
0,29,20.80,1.96,0.000,0.010,0,0,0.000,0.000
0,38,22.14,2.07,0.000,0.015,0,0,0.000,0.000
0,37,20.20,1.28,0.000,0.005,0,0,0.000,0.000
0,39,20.80,1.70,0.000,0.008,0,0,0.000,0.000
0,40,24.46,1.63,0.000,0.018,0,0,0.000,0.000
0,42,23.43,1.95,0.000,0.017,0,0,0.000,0.000
0,46,18.08,1.91,0.000,0.013,0,0,0.000,0.000
0,47,18.76,1.90,0.000,0.010,0,0,0.000,0.000
0,44,19.04,1.85,0.000,0.009,0,0,0.000,0.000
0,45,20.01,1.30,0.000,0.005,0,0,0.000,0.000
0,51,21.49,2.11,0.000,0.010,0,0,0.000,0.000
0,48,19.81,1.27,0.000,0.005,0,0,0.000,0.000
0,49,19.42,1.79,0.000,0.008,0,0,0.000,0.000
0,52,21.53,2.11,0.000,0.011,0,0,0.000,0.000
