#obliquity variation, mean global temp variation, ice fraction variation, global albedo variation, ice distribution (free, caps, belt, snowball), max f_ice, min_fice
0,0,4.00,0.00,0.000,0.000,0,0,0.000,0.000
0,1,4.06,0.56,0.020,0.003,1,1,0.398,0.378
0,14,4.86,0.52,0.007,0.003,1,1,0.398,0.391
0,8,4.45,0.43,0.000,0.003,1,1,0.398,0.398
0,3,4.16,0.62,0.013,0.002,1,1,0.398,0.384
0,9,4.52,0.43,0.007,0.001,1,1,0.398,0.391
0,11,4.65,0.30,0.000,0.001,1,1,0.398,0.398
0,16,5.01,0.29,0.000,0.002,1,1,0.398,0.398
0,15,4.93,0.29,0.000,0.002,1,1,0.398,0.398
0,18,5.18,0.28,0.000,0.002,1,1,0.398,0.398
0,10,4.59,0.29,0.000,0.001,1,1,0.398,0.398
0,5,4.28,0.48,0.000,0.003,1,1,0.398,0.398
0,19,5.26,0.18,0.000,0.001,1,1,0.398,0.398
0,12,4.72,0.29,0.000,0.001,1,1,0.398,0.398
0,2,4.12,1.71,0.033,0.007,1,1,0.417,0.384
0,13,4.79,0.31,0.007,0.000,1,1,0.398,0.391
0,6,4.34,0.30,0.007,0.001,1,1,0.398,0.391
0,7,4.39,0.42,0.000,0.003,1,1,0.398,0.398
0,17,5.09,0.27,0.000,0.002,1,1,0.398,0.398
0,20,5.34,0.16,0.000,0.001,1,1,0.398,0.398
0,4,4.21,0.51,0.007,0.000,1,1,0.398,0.391
0,21,5.43,0.16,0.000,0.001,1,1,0.398,0.398
0,27,6.05,0.61,0.013,0.004,1,1,0.398,0.384
0,24,5.72,0.20,0.000,0.001,1,1,0.398,0.398
0,29,6.28,0.18,0.007,0.001,1,1,0.398,0.391
0,26,5.93,0.24,0.007,0.000,1,1,0.398,0.391
0,28,6.16,0.46,0.007,0.003,1,1,0.398,0.391
0,31,6.54,0.17,0.007,0.001,1,1,0.398,0.391
0,34,6.96,0.40,0.013,0.003,1,1,0.398,0.384
0,23,5.63,0.17,0.000,0.001,1,1,0.398,0.398
0,36,7.28,0.17,0.007,0.001,1,1,0.398,0.391
0,33,6.82,0.18,0.007,0.001,1,1,0.398,0.391
0,22,5.53,0.18,0.000,0.001,1,1,0.398,0.398
0,37,7.45,0.17,0.007,0.001,1,1,0.398,0.391
0,35,7.12,0.19,0.007,0.001,1,1,0.398,0.391
0,32,6.67,0.18,0.007,0.001,1,1,0.398,0.391
0,30,6.41,0.17,0.007,0.001,1,1,0.398,0.391
0,25,5.82,0.17,0.000,0.001,1,1,0.398,0.398
0,38,7.62,0.40,0.007,0.003,1,1,0.398,0.391
0,40,7.99,0.23,0.007,0.001,1,1,0.391,0.384
0,39,7.81,0.56,0.013,0.003,1,1,0.398,0.384
0,41,8.20,0.40,0.007,0.002,1,1,0.398,0.391
0,48,9.94,0.48,0.013,0.003,1,1,0.398,0.384
0,55,12.55,0.90,0.013,0.004,1,1,0.391,0.378
0,42,8.41,0.42,0.013,0.002,1,1,0.398,0.384
0,45,9.11,0.68,0.013,0.004,1,1,0.398,0.384
0,51,10.93,0.71,0.013,0.003,1,1,0.398,0.384
0,44,8.86,0.41,0.007,0.003,1,1,0.398,0.391
0,53,11.68,0.86,0.020,0.004,1,1,0.398,0.378
0,52,11.29,0.85,0.013,0.004,1,1,0.398,0.384
0,43,8.63,0.39,0.013,0.002,1,1,0.398,0.384
0,49,10.25,0.30,0.007,0.001,1,1,0.398,0.391
0,50,10.58,0.33,0.013,0.001,1,1,0.398,0.384
0,54,12.10,0.83,0.013,0.003,1,1,0.391,0.378
0,56,13.03,0.97,0.020,0.004,1,1,0.391,0.371
0,57,13.54,0.99,0.020,0.004,1,1,0.391,0.371
0,46,9.37,0.46,0.013,0.003,1,1,0.398,0.384
0,47,9.65,0.47,0.020,0.003,1,1,0.398,0.378
0,59,14.67,1.14,0.026,0.005,1,1,0.391,0.364
0,58,14.09,1.07,0.026,0.005,1,1,0.391,0.364
0,60,15.30,1.14,0.026,0.005,1,1,0.391,0.364
0,76,32.41,5.48,0.384,0.042,1,0,0.384,0.000
0,75,31.02,2.70,0.291,0.018,1,1,0.384,0.093
0,78,35.17,5.48,0.384,0.042,1,0,0.384,0.000
0,73,28.32,2.37,0.199,0.011,1,1,0.384,0.186
0,77,33.79,5.53,0.384,0.042,1,0,0.384,0.000
0,74,29.67,2.46,0.238,0.013,1,1,0.384,0.146
0,80,37.91,5.59,0.384,0.041,1,0,0.384,0.000
0,72,27.01,2.25,0.166,0.010,1,1,0.384,0.219
0,79,36.55,5.56,0.384,0.042,1,0,0.384,0.000
0,71,25.74,2.12,0.152,0.009,1,1,0.384,0.232
0,70,24.51,2.00,0.126,0.008,1,1,0.391,0.265
0,68,22.21,1.82,0.099,0.008,1,1,0.391,0.292
0,66,20.14,1.57,0.073,0.007,1,1,0.391,0.318
0,65,19.19,1.48,0.066,0.007,1,1,0.391,0.325
0,67,21.15,1.65,0.086,0.007,1,1,0.391,0.305
0,64,18.30,1.45,0.060,0.007,1,1,0.391,0.331
0,62,4.13,0.15,0.013,0.000,2,2,0.371,0.358
