#obliquity variation, mean global temp variation, ice fraction variation, global albedo variation, ice distribution (free, caps, belt, snowball), max f_ice, min_fice
10,0.00,21.57,3.47,0.053,0.014,1,1,0.331,0.179
10,0.02,21.58,3.42,0.046,0.014,1,1,0.331,0.172
10,0.01,21.57,3.46,0.053,0.014,1,1,0.331,0.186
10,0.03,21.57,3.51,0.046,0.014,1,1,0.331,0.186
10,0.17,21.54,3.56,0.053,0.014,1,1,0.331,0.179
10,0.14,21.55,3.50,0.053,0.014,1,1,0.331,0.179
10,0.10,21.56,3.59,0.046,0.014,1,1,0.331,0.186
10,0.08,21.58,3.49,0.040,0.014,1,1,0.331,0.186
10,0.09,21.57,3.56,0.040,0.014,1,1,0.331,0.172
10,0.05,21.58,3.51,0.046,0.014,1,1,0.331,0.186
10,0.19,21.53,3.52,0.053,0.014,1,1,0.331,0.179
10,0.13,21.56,3.56,0.053,0.014,1,1,0.331,0.179
10,0.06,21.57,3.51,0.046,0.014,1,1,0.331,0.172
10,0.18,21.54,3.52,0.053,0.014,1,1,0.331,0.179
10,0.07,21.58,3.57,0.046,0.014,1,1,0.331,0.179
10,0.15,21.55,3.54,0.053,0.014,1,1,0.331,0.179
10,0.04,21.58,3.46,0.046,0.014,1,1,0.331,0.179
10,0.12,21.57,3.43,0.053,0.014,1,1,0.331,0.179
10,0.16,21.54,3.56,0.053,0.014,1,1,0.331,0.179
10,0.11,21.57,3.48,0.053,0.014,1,1,0.331,0.186
10,0.20,21.52,3.51,0.046,0.014,1,1,0.331,0.179
10,0.25,21.47,3.61,0.053,0.014,1,1,0.331,0.172
10,0.22,21.50,3.49,0.040,0.014,1,1,0.331,0.179
10,0.21,21.52,3.52,0.040,0.014,1,1,0.331,0.179
10,0.33,21.42,3.47,0.046,0.014,1,1,0.331,0.186
10,0.29,21.45,3.53,0.053,0.014,1,1,0.331,0.179
10,0.26,21.47,3.48,0.053,0.014,1,1,0.331,0.179
10,0.28,21.45,3.48,0.046,0.014,1,1,0.331,0.186
10,0.32,21.43,3.49,0.053,0.014,1,1,0.331,0.186
10,0.27,21.46,3.64,0.046,0.014,1,1,0.331,0.172
10,0.34,21.41,3.60,0.046,0.014,1,1,0.331,0.172
10,0.23,21.49,3.55,0.040,0.014,1,1,0.331,0.179
10,0.35,21.40,3.66,0.053,0.014,1,1,0.331,0.179
10,0.31,21.43,3.60,0.053,0.014,1,1,0.331,0.179
10,0.30,21.44,3.58,0.053,0.014,1,1,0.331,0.186
10,0.36,21.40,3.59,0.053,0.013,1,1,0.331,0.179
10,0.24,21.48,3.47,0.053,0.014,1,1,0.331,0.172
